,word,frequency,length
估計gūjì,估計gūjì,1,4,
所行suǒxíng,所行suǒxíng,1,7,
新上限xīnshàngxiàn,新上限xīnshàngxiàn,1,12,
凱拉kǎilā,凱拉kǎilā,1,5,
突破tūpò,突破tūpò,1,4,
數字化shùzìhuà,數字化shùzìhuà,1,8,
史無前例shǐwúqiánlì,史無前例shǐwúqiánlì,1,11,
先例xiānlì,先例xiānlì,1,6,
科瑞kēruì,科瑞kēruì,1,5,
舒爾曼shūěrmàn,舒爾曼shūěrmàn,1,8,
跟踪gēnzōng,跟踪gēnzōng,1,7,
國會山guóhuìshān,國會山guóhuìshān,1,10,
任職rènzhí,任職rènzhí,1,6,
以往yǐwǎng,以往yǐwǎng,1,6,
演說yǎnshuō,演說yǎnshuō,1,7,
宣稱xuānchēng,宣稱xuānchēng,1,9,
政績zhèngjī,政績zhèngjī,1,7,
考量kǎoliàng,考量kǎoliàng,1,8,
超chāo,超chāo,1,4,
施加shījiā,施加shījiā,1,6,
哪怕nǎpà,哪怕nǎpà,1,4,
一丁點yīdīngdiǎn,一丁點yīdīngdiǎn,1,10,
肩負jiānfù,肩負jiānfù,1,6,
命運mìngyùn,命運mìngyùn,1,7,
北卡羅來納běikǎluóláinà,北卡羅來納běikǎluóláinà,1,13,
運動場yùndòngchǎng,運動場yùndòngchǎng,1,12,
群眾qúnzhòng,群眾qúnzhòng,1,8,
帳戶zhànghù,帳戶zhànghù,1,7,
纜車lǎnchē,纜車lǎnchē,1,6,
穿越chuānyuè,穿越chuānyuè,1,8,
波托馬克河bōtuōmǎkèhé,波托馬克河bōtuōmǎkèhé,1,11,
需時xūshí,需時xūshí,1,5,
解僱jiěgù,解僱jiěgù,1,5,
音箱yīnxiāng,音箱yīnxiāng,1,8,
法倫fǎlún,法倫fǎlún,1,5,
切斷qièduàn,切斷qièduàn,1,7,
根gēn,根gēn,1,3,
鋼材gāngcái,鋼材gāngcái,1,7,
新投資xīntóuzī,新投資xīntóuzī,1,8,
上百shàngbǎi,上百shàngbǎi,1,8,
效應xiàoyīng,效應xiàoyīng,1,8,
保全bǎoquán,保全bǎoquán,1,7,
克萊德kèláidé,克萊德kèláidé,1,7,
造船zàochuán,造船zàochuán,1,8,
新皇家xīnhuángjiā,新皇家xīnhuángjiā,1,11,
海軍hǎijūn,海軍hǎijūn,1,6,
許下xǔxià,許下xǔxià,1,5,
下達xiàdá,下達xiàdá,1,5,
訂單dìngdān,訂單dìngdān,1,7,
承諾chéngnuò,承諾chéngnuò,1,8,
最開始zuìkāishǐ,最開始zuìkāishǐ,1,9,
相當xiāngdāng,相當xiāngdāng,1,9,
觀guān,觀guān,1,4,
奈特利nàitèlì,奈特利nàitèlì,1,7,
常用chángyòng,常用chángyòng,1,9,
奧斯本àosīběn,奧斯本àosīběn,1,7,
雅茲迪yǎzīdí,雅茲迪yǎzīdí,1,6,
這麼zhème,這麼zhème,1,5,
動物園dòngwùyuán,動物園dòngwùyuán,1,10,
害人hàirén,害人hàirén,1,6,
襲擊xíjī,襲擊xíjī,1,4,
普查局pǔchájú,普查局pǔchájú,1,7,
選舉日xuǎnjǔrì,選舉日xuǎnjǔrì,1,8,
總投票額zǒngtóupiàoé,總投票額zǒngtóupiàoé,1,12,
隻zhī,隻zhī,1,3,
寂寞jìmò,寂寞jìmò,1,4,
孤獨gūdú,孤獨gūdú,1,4,
種群zhǒngqún,種群zhǒngqún,1,8,
擴充kuòchōng,擴充kuòchōng,1,8,
薩奇布sàqíbù,薩奇布sàqíbù,1,6,
坐牢zuòláo,坐牢zuòláo,1,6,
潘pān,潘pān,1,3,
沃爾卡wòěrkǎ,沃爾卡wòěrkǎ,1,6,
段duàn,段duàn,1,4,
幢chuáng,幢chuáng,1,6,
兒子érzi,兒子érzi,1,4,
安德烈āndéliè,安德烈āndéliè,1,7,
按進ànjìn,按進ànjìn,1,5,
客廳kètīng,客廳kètīng,1,6,
床墊chuángdiàn,床墊chuángdiàn,1,10,
安吉爾ānjíěr,安吉爾ānjíěr,1,6,
幸運xìngyùn,幸運xìngyùn,1,7,
索尼suǒní,索尼suǒní,1,5,
嘿hēi,嘿hēi,1,3,
共享gòngxiǎng,共享gòngxiǎng,1,9,
主動zhǔdòng,主動zhǔdòng,1,7,
總績效zǒngjīxiào,總績效zǒngjīxiào,1,10,
過時guòshí,過時guòshí,1,6,
總額zǒngé,總額zǒngé,1,5,
戈梅里gēméilǐ,戈梅里gēméilǐ,1,7,
恢復huīfù,恢復huīfù,1,5,
法治fǎzhì,法治fǎzhì,1,5,
信心xìnxīn,信心xìnxīn,1,6,
魁北克省kuíběikèshěng,魁北克省kuíběikèshěng,1,13,
當做dāngzuò,當做dāngzuò,1,7,
監視jiānshì,監視jiānshì,1,7,
揭發jiēfā,揭發jiēfā,1,5,
政治家zhèngzhìjiā,政治家zhèngzhìjiā,1,11,
財務cáiwù,財務cáiwù,1,5,
捐助juānzhù,捐助juānzhù,1,7,
優先yōuxiān,優先yōuxiān,1,7,
或是huòshì,或是huòshì,1,6,
優先權yōuxiānquán,優先權yōuxiānquán,1,11,
法官fǎguān,法官fǎguān,1,6,
違反wéifǎn,違反wéifǎn,1,6,
信託xìntuō,信託xìntuō,1,6,
庭審tíngshěn,庭審tíngshěn,1,8,
洗清xǐqīng,洗清xǐqīng,1,6,
十四億shísìyì,十四億shísìyì,1,7,
預期yùqī,預期yùqī,1,4,
順便shùnbiàn,順便shùnbiàn,1,8,
超出chāochū,超出chāochū,1,7,
亮相liàngxiāng,亮相liàngxiāng,1,10,
輔導員fǔdǎoyuán,輔導員fǔdǎoyuán,1,9,
會面huìmiàn,會面huìmiàn,1,7,
談論tánlùn,談論tánlùn,1,6,
安慰ānwèi,安慰ānwèi,1,5,
見到jiàndào,見到jiàndào,1,7,
朋友們péngyǒumen,朋友們péngyǒumen,1,10,
折磨zhémó,折磨zhémó,1,5,
災難zāinán,災難zāinán,1,6,
梅爾里斯méiěrlǐsī,梅爾里斯méiěrlǐsī,1,9,
處方箋chùfāngjiān,處方箋chùfāngjiān,1,11,
疫苗yìmiáo,疫苗yìmiáo,1,6,
互動hùdòng,互動hùdòng,1,6,
主任zhǔrèn,主任zhǔrèn,1,6,
格里gélǐ,格里gélǐ,1,4,
邁科內爾里màikēnèiěrlǐ,邁科內爾里màikēnèiěrlǐ,1,12,
訂立dìnglì,訂立dìnglì,1,6,
檢討jiǎntǎo,檢討jiǎntǎo,1,7,
事項shìxiàng,事項shìxiàng,1,8,
覆核fùhé,覆核fùhé,1,4,
警官jǐngguān,警官jǐngguān,1,8,
煽動性shāndòngxìng,煽動性shāndòngxìng,1,12,
高管們gāoguǎnmen,高管們gāoguǎnmen,1,10,
裁定cáidìng,裁定cáidìng,1,7,
遠yuǎn,遠yuǎn,1,4,
不止bùzhǐ,不止bùzhǐ,1,5,
電話diànhuà,電話diànhuà,1,7,
等候děnghòu,等候děnghòu,1,7,
正常zhèngcháng,正常zhèngcháng,1,10,
總體zǒngtǐ,總體zǒngtǐ,1,6,
儲備chǔbèi,儲備chǔbèi,1,6,
偏低piāndī,偏低piāndī,1,6,
血液xuèyè,血液xuèyè,1,5,
捐獻者juānxiànzhě,捐獻者juānxiànzhě,1,11,
德克薩斯州dékèsàsīzhōu,德克薩斯州dékèsàsīzhōu,1,12,
準媽媽zhǔnmāmā,準媽媽zhǔnmāmā,1,8,
例行lìxíng,例行lìxíng,1,6,
超聲波chāoshēngbō,超聲波chāoshēngbō,1,11,
複雜fùzá,複雜fùzá,1,4,
骶尾部dǐwěibù,骶尾部dǐwěibù,1,7,
畸胎瘤jītāiliú,畸胎瘤jītāiliú,1,8,
寶寶bǎobǎo,寶寶bǎobǎo,1,6,
尾骨wěigǔ,尾骨wěigǔ,1,5,
高齡gāolíng,高齡gāolíng,1,7,
形容xíngróng,形容xíngróng,1,8,
無以倫比wúyǐlúnbǐ,無以倫比wúyǐlúnbǐ,1,9,
博愛bóài,博愛bóài,1,4,
文壇wéntán,文壇wéntán,1,6,
光輝guānghuī,光輝guānghuī,1,8,
印記yìnjì,印記yìnjì,1,5,
各個gègè,各個gègè,1,4,
傳送chuánsòng,傳送chuánsòng,1,9,
氧氣yǎngqì,氧氣yǎngqì,1,6,
夜晚yèwǎn,夜晚yèwǎn,1,5,
無限wúxiàn,無限wúxiàn,1,6,
棒極bàngjí,棒極bàngjí,1,6,
監控jiānkòng,監控jiānkòng,1,8,
使用量shǐyòngliàng,使用量shǐyòngliàng,1,12,
回來huílái,回來huílái,1,6,
爭取zhēngqǔ,爭取zhēngqǔ,1,7,
租賃zūlìn,租賃zūlìn,1,5,
新公寓xīngōngyù,新公寓xīngōngyù,1,9,
大多倫多市dàduōlúnduōshì,大多倫多市dàduōlúnduōshì,1,14,
背部bèibù,背部bèibù,1,5,
入睡rùshuì,入睡rùshuì,1,6,
蛋白質dànbáizhì,蛋白質dànbáizhì,1,9,
科羅拉多州kēluólāduōzhōu,科羅拉多州kēluólāduōzhōu,1,14,
丹佛市dānfúshì,丹佛市dānfúshì,1,8,
出售chūshòu,出售chūshòu,1,7,
框架kuāngjià,框架kuāngjià,1,8,
情緒qíngxù,情緒qíngxù,1,6,
民間mínjiān,民間mínjiān,1,7,
療法liáofǎ,療法liáofǎ,1,6,
草根cǎogēn,草根cǎogēn,1,6,
人體réntǐ,人體réntǐ,1,5,
細胞xìbāo,細胞xìbāo,1,5,
大會dàhuì,大會dàhuì,1,5,
梅拉尼亞méilāníyà,梅拉尼亞méilāníyà,1,9,
勝任shèngrèn,勝任shèngrèn,1,8,
右肺yòufèi,右肺yòufèi,1,6,
公安局gōngānjú,公安局gōngānjú,1,8,
述shù,述shù,1,3,
週二zhōuèr,週二zhōuèr,1,6,
大群dàqún,大群dàqún,1,5,
自稱zìchēng,自稱zìchēng,1,7,
機關jīguān,機關jīguān,1,6,
付出fùchū,付出fùchū,1,5,
避孕藥bìyùnyào,避孕藥bìyùnyào,1,8,
潛力qiánlì,潛力qiánlì,1,6,
組合zǔhé,組合zǔhé,1,4,
漫長mànzhǎng,漫長mànzhǎng,1,8,
小步xiǎobù,小步xiǎobù,1,6,
根深蒂固gēnshēndìgù,根深蒂固gēnshēndìgù,1,11,
癌症áizhèng,癌症áizhèng,1,7,
成因chéngyīn,成因chéngyīn,1,8,
吸煙xīyān,吸煙xīyān,1,5,
總數zǒngshù,總數zǒngshù,1,7,
突變tūbiàn,突變tūbiàn,1,6,
數目shùmù,數目shùmù,1,5,
膀胱bǎngguāng,膀胱bǎngguāng,1,9,
暴露bàolù,暴露bàolù,1,5,
劍橋jiànqiáo,劍橋jiànqiáo,1,8,
醫院yīyuàn,醫院yīyuàn,1,6,
事故shìgù,事故shìgù,1,5,
引力yǐnlì,引力yǐnlì,1,5,
地心de dìxīn,地心de dìxīn,1,8,
庫頁島kùyèdǎo,庫頁島kùyèdǎo,1,7,
鮑爾bàoěr,鮑爾bàoěr,1,5,
克里米亞kèlǐmǐyà,克里米亞kèlǐmǐyà,1,8,
吞併tūnbìng,吞併tūnbìng,1,7,
頭條tóutiáo,頭條tóutiáo,1,7,
狂熱kuángrè,狂熱kuángrè,1,7,
演唱會yǎnchànghuì,演唱會yǎnchànghuì,1,11,
遠東yuǎndōng,遠東yuǎndōng,1,8,
符拉迪沃斯托克fúlādíwòsītuōkè,符拉迪沃斯托克fúlādíwòsītuōkè,1,15,
近年jìnnián,近年jìnnián,1,7,
堪察加kānchájiā,堪察加kānchájiā,1,9,
貝爾格萊德bèiěrgéláidé,貝爾格萊德bèiěrgéláidé,1,12,
卡隆kǎlóng,卡隆kǎlóng,1,6,
開辦kāibàn,開辦kāibàn,1,6,
武術wǔshù,武術wǔshù,1,5,
較早jiàozǎo,較早jiàozǎo,1,7,
塞爾維亞sāiěrwéiyà,塞爾維亞sāiěrwéiyà,1,10,
國籍guójí,國籍guójí,1,5,
美聯社měiliánshè,美聯社měiliánshè,1,10,
口角kǒujiǎo,口角kǒujiǎo,1,7,
繼而jìér,繼而jìér,1,4,
演變yǎnbiàn,演變yǎnbiàn,1,7,
傷亡shāngwáng,傷亡shāngwáng,1,9,
掃描sǎomiáo,掃描sǎomiáo,1,7,
試驗shìyàn,試驗shìyàn,1,6,
性情xìngqíng,性情xìngqíng,1,8,
一道yīdào,一道yīdào,1,5,
壯大zhuàngdà,壯大zhuàngdà,1,8,
中產zhōngchǎn,中產zhōngchǎn,1,9,
階級jiējí,階級jiējí,1,5,
發出fāchū,發出fāchū,1,5,
非同尋常fēitóngxúncháng,非同尋常fēitóngxúncháng,1,15,
控訴kòngsù,控訴kòngsù,1,6,
大城市dàchéngshì,大城市dàchéngshì,1,10,
有毒yǒudú,有毒yǒudú,1,5,
嗆肺qiāngfèi,嗆肺qiāngfèi,1,8,
霧霾wùmái,霧霾wùmái,1,5,
復fù,復fù,1,2,
大型dàxíng,大型dàxíng,1,6,
新興xīnxìng,新興xīnxìng,1,7,
擔負dānfù,擔負dānfù,1,5,
溫室wēnshì,溫室wēnshì,1,6,
等到děngdào,等到děngdào,1,7,
任期rènqī,任期rènqī,1,5,
退出tuìchū,退出tuìchū,1,6,
盟友們méngyǒumen,盟友們méngyǒumen,1,10,
立lì,立lì,1,2,
聚光燈jùguāngdēng,聚光燈jùguāngdēng,1,11,
指責zhǐzé,指責zhǐzé,1,5,
蔑視mièshì,蔑視mièshì,1,6,
日益rìyì,日益rìyì,1,4,
罰款fákuǎn,罰款fákuǎn,1,6,
執法zhífǎ,執法zhífǎ,1,5,
行踪xíngzōng,行踪xíngzōng,1,8,
現有xiànyǒu,現有xiànyǒu,1,7,
議程yìchéng,議程yìchéng,1,7,
維護wéihù,維護wéihù,1,5,
特魯多tèlǔduō,特魯多tèlǔduō,1,7,
延長yánzhǎng,延長yánzhǎng,1,8,
無家可歸wújiākěguī,無家可歸wújiākěguī,1,10,
刺傷cìshāng,刺傷cìshāng,1,7,
阿伯茨福德ābócífúdé,阿伯茨福德ābócífúdé,1,9,
早前zǎoqián,早前zǎoqián,1,7,
犯罪fànzuì,犯罪fànzuì,1,6,
確切quèqiè,確切quèqiè,1,6,
省內shěngnèi,省內shěngnèi,1,8,
阿伯茲福德ābózīfúdé,阿伯茲福德ābózīfúdé,1,9,
联系liánxì,联系liánxì,1,6,
沉默寡言chénmòguǎyán,沉默寡言chénmòguǎyán,1,12,
情願qíngyuàn,情願qíngyuàn,1,8,
走出zǒuchū,走出zǒuchū,1,6,
牢房láofáng,牢房láofáng,1,7,
出席chūxí,出席chūxí,1,5,
經紀人jīngjìrén,經紀人jīngjìrén,1,9,
懲罰chéngfá,懲罰chéngfá,1,7,
代理商dàilǐshāng,代理商dàilǐshāng,1,10,
清理qīnglǐ,清理qīnglǐ,1,6,
除非chúfēi,除非chúfēi,1,6,
佔有zhànyǒu,佔有zhànyǒu,1,7,
野生yěshēng,野生yěshēng,1,7,
考察kǎochá,考察kǎochá,1,6,
美拉尼西亞人měilāníxīyàrén,美拉尼西亞人měilāníxīyàrén,1,14,
往北wǎngběi,往北wǎngběi,1,7,
遷移qiānyí,遷移qiānyí,1,6,
肯塔基kěntǎjī,肯塔基kěntǎjī,1,7,
印第安納yìndìānnà,印第安納yìndìānnà,1,9,
托馬斯tuōmǎsī,托馬斯tuōmǎsī,1,7,
家具jiājù,家具jiājù,1,5,
木工mùgōng,木工mùgōng,1,6,
木匠mùjiàng,木匠mùjiàng,1,7,
災害zāihài,災害zāihài,1,6,
脆弱性cuìruòxìng,脆弱性cuìruòxìng,1,10,
洪水hóngshuǐ,洪水hóngshuǐ,1,8,
作物zuòwù,作物zuòwù,1,5,
失收shīshōu,失收shīshōu,1,7,
疾病jíbìng,疾病jíbìng,1,6,
減輕jiǎnqīng,減輕jiǎnqīng,1,8,
不利bùlì,不利bùlì,1,4,
周邊zhōubiān,周邊zhōubiān,1,8,
地貌de dìmào,地貌de dìmào,1,8,
侵蝕qīnshí,侵蝕qīnshí,1,6,
鹽漬化yánzìhuà,鹽漬化yánzìhuà,1,8,
壓緊yājǐn,壓緊yājǐn,1,5,
保護區bǎohùqū,保護區bǎohùqū,1,7,
宣佈xuānbù,宣佈xuānbù,1,6,
徑流jìngliú,徑流jìngliú,1,7,
乾涸qián gānhé,乾涸qián gānhé,1,10,
多達duōdá,多達duōdá,1,5,
千瓦qiānwǎ,千瓦qiānwǎ,1,6,
電力diànlì,電力diànlì,1,6,
萊茵河láiyīnhé,萊茵河láiyīnhé,1,8,
羅訥河luónèhé,羅訥河luónèhé,1,7,
茵河yīnhé,茵河yīnhé,1,5,
提契諾河tíqìnuòhé,提契諾河tíqìnuòhé,1,9,
寶河bǎohé,寶河bǎohé,1,5,
源頭yuántóu,源頭yuántóu,1,7,
火山huǒshān,火山huǒshān,1,7,
火山學huǒshānxué,火山學huǒshānxué,1,10,
拼寫pīnxiě,拼寫pīnxiě,1,6,
岩漿yánjiāng,岩漿yánjiāng,1,8,
矽xì,矽xì,1,2,
粘稠zhānchóu,粘稠zhānchóu,1,8,
深處shēnchù,深處shēnchù,1,7,
冷卻lěngquè,冷卻lěngquè,1,7,
災難性zāinánxìng,災難性zāinánxìng,1,10,
爆炸bàozhà,爆炸bàozhà,1,6,
變暖biànnuǎn,變暖biànnuǎn,1,8,
雨季yǔjì,雨季yǔjì,1,4,
模式móshì,模式móshì,1,5,
環礁湖huánjiāohú,環礁湖huánjiāohú,1,10,
枯竭kūjié,枯竭kūjié,1,5,
暴力bàolì,暴力bàolì,1,5,
科屬kēshǔ,科屬kēshǔ,1,5,
大洲dàzhōu,大洲dàzhōu,1,6,
風fēng,風fēng,1,4,
吹拂chuīfú,吹拂chuīfú,1,6,
裸露luǒlù,裸露luǒlù,1,5,
細微xìwēi,細微xìwēi,1,5,
顫動chàndòng,顫動chàndòng,1,8,
風速fēngsù,風速fēngsù,1,6,
變快biànkuài,變快biànkuài,1,8,
某些mǒuxiē,某些mǒuxiē,1,6,
帶入dàirù,帶入dàirù,1,5,
氣流qìliú,氣流qìliú,1,5,
降落jiàngluò,降落jiàngluò,1,8,
擊中jīzhōng,擊中jīzhōng,1,7,
彈入dànrù,彈入dànrù,1,5,
連鎖liánsuǒ,連鎖liánsuǒ,1,7,
肥胖féipàng,肥胖féipàng,1,7,
少見shǎojiàn,少見shǎojiàn,1,8,
天數tiānshù,天數tiānshù,1,7,
開羅kāiluó,開羅kāiluó,1,6,
達dá,達dá,1,2,
五十萬wǔshíwàn,五十萬wǔshíwàn,1,8,
尼羅níluó,尼羅níluó,1,5,
河hé,河hé,1,2,
額外éwài,額外éwài,1,4,
吹走chuīzǒu,吹走chuīzǒu,1,7,
塵埃chénāi,塵埃chénāi,1,6,
植被zhíbèi,植被zhíbèi,1,6,
百分之一bǎifēnzhīyī,百分之一bǎifēnzhīyī,1,11,
揚帆yángfān fán,揚帆yángfān fán,1,11,
大西洋dàxīyáng,大西洋dàxīyáng,1,8,
西xī,西xī,1,2,
掀起xiānqǐ,掀起xiānqǐ,1,6,
熱潮期rècháoqī,熱潮期rècháoqī,1,8,
偏遠piānyuǎn,偏遠piānyuǎn,1,8,
不便bùbiàn,不便bùbiàn,1,6,
私營sīyíng,私營sīyíng,1,6,
餘下yúxià,餘下yúxià,1,5,
總共zǒnggòng,總共zǒnggòng,1,8,
白天báitiān,白天báitiān,1,7,
保護年bǎohùnián,保護年bǎohùnián,1,9,
冰點bīngdiǎn,冰點bīngdiǎn,1,8,
數千shùqiān,數千shùqiān,1,7,
偷tōu,偷tōu,1,3,
艘sōu,艘sōu,1,3,
獨木舟dúmùzhōu,獨木舟dúmùzhōu,1,8,
惡化èhuà,惡化èhuà,1,4,
宛如wǎnrú,宛如wǎnrú,1,5,
水道shuǐdào,水道shuǐdào,1,7,
污水池wūshuǐchí,污水池wūshuǐchí,1,9,
大市長dàshìzhǎng,大市長dàshìzhǎng,1,10,
水電站shuǐdiànzhàn,水電站shuǐdiànzhàn,1,12,
阿爾卑斯山āěrbēisīshān,阿爾卑斯山āěrbēisīshān,1,12,
設施shèshī,設施shèshī,1,6,
較深jiàoshēn,較深jiàoshēn,1,8,
飲品yǐnpǐn,飲品yǐnpǐn,1,6,
啤酒píjiǔ,啤酒píjiǔ,1,5,
蜂蜜酒fēngmìjiǔ,蜂蜜酒fēngmìjiǔ,1,9,
烈性lièxìng,烈性lièxìng,1,7,
水果酒shuǐguǒjiǔ,水果酒shuǐguǒjiǔ,1,10,
富人fùrén,富人fùrén,1,5,
享用xiǎngyòng,享用xiǎngyòng,1,9,
葡萄酒pútáojiǔ,葡萄酒pútáojiǔ,1,8,
規則guīzé,規則guīzé,1,5,
搏鬥bódòu,搏鬥bódòu,1,5,
匹pǐ,匹pǐ,1,2,
種馬zhǒngmǎ,種馬zhǒngmǎ,1,7,
嚴冬yándōng,嚴冬yándōng,1,7,
胡蘇姆húsūmǔ,胡蘇姆húsūmǔ,1,6,
施萊灣shīláiwān,施萊灣shīláiwān,1,9,
濕地shīde dì,濕地shīde dì,1,8,
凍土dòngtǔ,凍土dòngtǔ,1,6,
攻占gōngzhàn,攻占gōngzhàn,1,8,
普pǔ,普pǔ,1,2,
意外yìwài,意外yìwài,1,5,
撤離chèlí,撤離chèlí,1,5,
重型zhòngxíng,重型zhòngxíng,1,9,
火砲huǒpào,火砲huǒpào,1,6,
酒精類jiǔjīnglèi,酒精類jiǔjīnglèi,1,10,
淡水湖dànshuǐhú,淡水湖dànshuǐhú,1,9,
供水gōngshuǐ,供水gōngshuǐ,1,8,
峽灣xiáwān,峽灣xiáwān,1,6,
勞動力láodònglì,勞動力láodònglì,1,9,
前英屬qiányīngshǔ,前英屬qiányīngshǔ,1,11,
統一tǒngyī,統一tǒngyī,1,6,
勞動部láodòngbù,勞動部láodòngbù,1,9,
惡劣èliè,惡劣èliè,1,4,
工gōng,工gōng,1,4,
極端jíduān,極端jíduān,1,6,
飢荒jīhuāng,飢荒jīhuāng,1,7,
捕魚bǔyú,捕魚bǔyú,1,4,
海產hǎichǎn,海產hǎichǎn,1,7,
採集cǎijí,採集cǎijí,1,5,
交錯jiāocuò,交錯jiāocuò,1,7,
著名zhemíng,著名zhemíng,1,7,
大規模dàguīmó,大規模dàguīmó,1,7,
海岸線hǎiànxiàn,海岸線hǎiànxiàn,1,9,
奧古斯塔斯àogǔsītǎsī,奧古斯塔斯àogǔsītǎsī,1,10,
海hǎi,海hǎi,1,3,
礁石jiāoshí,礁石jiāoshí,1,7,
水路shuǐlù,水路shuǐlù,1,6,
克里斯蒂安鬆kèlǐsīdìānsōng,克里斯蒂安鬆kèlǐsīdìānsōng,1,14,
利勒桑lìlēisāng,利勒桑lìlēisāng,1,9,
蜿蜒wānyán,蜿蜒wānyán,1,6,
淺礁湖qiǎnjiāohú,淺礁湖qiǎnjiāohú,1,10,
遺棄yíqì,遺棄yíqì,1,4,
何hé,何hé,1,2,
通往tōngwǎng,通往tōngwǎng,1,8,
弗倫斯堡fúlúnsībǎo,弗倫斯堡fúlúnsībǎo,1,10,
俄亥俄河éhàiéhé,俄亥俄河éhàiéhé,1,7,
矛盾máodùn,矛盾máodùn,1,6,
核心héxīn,核心héxīn,1,5,
自由州zìyóuzhōu,自由州zìyóuzhōu,1,9,
奴隸制州núlìzhìzhōu,奴隸制州núlìzhìzhōu,1,11,
分化fēnhuà,分化fēnhuà,1,6,
現像xiànxiàng,現像xiànxiàng,1,9,
多麼duōme,多麼duōme,1,5,
葉子yèzi,葉子yèzi,1,4,
多樣duōyàng,多樣duōyàng,1,7,
綠色lǜsè,綠色lǜsè,1,4,
黃綠色huánglǜsè,黃綠色huánglǜsè,1,9,
藍綠色lánlǜsè,藍綠色lánlǜsè,1,7,
不一而足bùyīérzú,不一而足bùyīérzú,1,8,
棕枝zōngzhī,棕枝zōngzhī,1,7,
主日zhǔrì,主日zhǔrì,1,5,
柳枝liǔzhī,柳枝liǔzhī,1,6,
棕櫚葉zōnglǘyè,棕櫚葉zōnglǘyè,1,8,
飲用水yǐnyòngshuǐ,飲用水yǐnyòngshuǐ,1,11,
灌溉水guàngàishuǐ,灌溉水guàngàishuǐ,1,11,
水力shuǐlì,水力shuǐlì,1,6,
高達gāodá,高達gāodá,1,5,
米蘭mǐlán,米蘭mǐlán,1,5,
密西西比河mìxīxībǐhé,密西西比河mìxīxībǐhé,1,10,
匯入huìrù,匯入huìrù,1,5,
溫和wēnhé,溫和wēnhé,1,5,
羅馬尼亞luómǎníyà,羅馬尼亞luómǎníyà,1,9,
議題yìtí,議題yìtí,1,4,
堅不可摧jiānbùkěcuī,堅不可摧jiānbùkěcuī,1,11,
梅塞méisāi,梅塞méisāi,1,6,
隨即suíjí,隨即suíjí,1,5,
解除jiěchú,解除jiěchú,1,6,
歸guī,歸guī,1,3,
管轄guǎnxiá,管轄guǎnxiá,1,7,
貨物huòwù,貨物huòwù,1,5,
一億yīyì,一億yīyì,1,4,
噸dūn,噸dūn,1,3,
圖爾恰郡túěrqiàjùn,圖爾恰郡túěrqiàjùn,1,10,
享有xiǎngyǒu,享有xiǎngyǒu,1,8,
奇莉婭灣qílìyàwān,奇莉婭灣qílìyàwān,1,9,
左岸zuǒàn,左岸zuǒàn,1,5,
敖德薩州áodésàzhōu,敖德薩州áodésàzhōu,1,10,
乾燥qián gānzào,乾燥qián gānzào,1,11,
偶爾ǒuěr,偶爾ǒuěr,1,4,
誤wù,誤wù,1,2,
地形de dìxíng,地形de dìxíng,1,9,
阿爾及利亞āěrjílìyà,阿爾及利亞āěrjílìyà,1,9,
地處de dìchù,地處de dìchù,1,8,
溫帶wēndài,溫帶wēndài,1,6,
促進cùjìn,促進cùjìn,1,5,
傑濟拉島jiéjìlādǎo,傑濟拉島jiéjìlādǎo,1,10,
海濱hǎibīn,海濱hǎibīn,1,6,
疏通shūtōng,疏通shūtōng,1,7,
極佳jíjiā,極佳jíjiā,1,5,
價值jiàzhí,價值jiàzhí,1,6,
獲huò,獲huò,1,3,
派遣pàiqiǎn,派遣pàiqiǎn,1,7,
契丹qìdān,契丹qìdān,1,5,
遼朝liáocháo,遼朝liáocháo,1,8,
使節shǐjié,使節shǐjié,1,6,
朝廷cháotíng,朝廷cháotíng,1,8,
美譽měiyù,美譽měiyù,1,5,
契丹人qìdānrén,契丹人qìdānrén,1,8,
挑釁性tiāoxìnxìng,挑釁性tiāoxìnxìng,1,11,
談判tánpàn,談判tánpàn,1,6,
操縱cāozòng,操縱cāozòng,1,7,
稱職chēngzhí,稱職chēngzhí,1,8,
遼國liáoguó,遼國liáoguó,1,7,
讓步ràngbù,讓步ràngbù,1,6,
藥學yàoxué,藥學yàoxué,1,6,
薩萊諾sàláinuò,薩萊諾sàláinuò,1,8,
提庇留tíbìliú,提庇留tíbìliú,1,7,
後悔hòuhuǐ,後悔hòuhuǐ,1,6,
奧古斯都àogǔsīdōu dū,奧古斯都àogǔsīdōu dū,1,12,
元老會yuánlǎohuì,元老會yuánlǎohuì,1,10,
無需wúxū,無需wúxū,1,4,
淤積物yūjīwù,淤積物yūjīwù,1,6,
原創yuánchuàng,原創yuánchuàng,1,10,
內華達州nèihuádázhōu,內華達州nèihuádázhōu,1,12,
汴河biànhé,汴河biànhé,1,6,
拉丁姆lādīngmǔ,拉丁姆lādīngmǔ,1,8,
每首měishǒu,每首měishǒu,1,7,
詩歌shīgē,詩歌shīgē,1,5,
後世hòushì,後世hòushì,1,6,
史學家shǐxuéjiā,史學家shǐxuéjiā,1,9,
特洛伊tèluòyī,特洛伊tèluòyī,1,7,
原型yuánxíng,原型yuánxíng,1,8,
預言yùyán,預言yùyán,1,5,
度過dùguò,度過dùguò,1,5,
平淡無奇píngdànwúqí,平淡無奇píngdànwúqí,1,11,
死去sǐqù,死去sǐqù,1,4,
英年yīngnián,英年yīngnián,1,8,
